nome,aliases,genero,fit_inicial
R.E.P.O.,repo|r.e.p.o|repo game,horror engracado,9
Schedule I,schedule i|schedule 1,simulador caos,8
Content Warning,content warning,horror coop,10
Lethal Company,lethal company,horror coop,10
Minecraft,minecraft|mine,sandbox,7
Roblox,roblox,variado,7
Storyteller,storyteller,,5.0
Monkepo,monkepo,,5.0
Infinite Craft,infinite craft,,5.0
Dop4,dop4,,5.0
Narutodle,narutodle,,5.0
OnePiecedle,onepiecedle|onepiecdle,,5.0
Brain Test,brain test,,5.0
Choo-Choose,choo-choose|choo - choose|Choo- Choose,,5.0
Bartender The Right Mix,bartender the right mix|Bartender: The Right Mix,,5.0
Block Blast,block blast,,5.0
Supermarket simulator,supermarket simulator,,5.0
Absurd Trolley Problems,absurd trolley problems,,5.0
Dispatch,dispatch,,5.0
That's not my neighbor,that's not my neighbor,,5.0
Level Devil,level devil,,5.0
MyVoiceZoo,myvoicezoo,,5.0
Buckshot Roulette,buckshot roulette,,5.0
Potion Craft,potion craft,,5.0
Bad Parenting,bad pareting,,5.0
Brain it on,brain it on,,5.0
Dreader,dreader,,5.0
MiSide,miside,,5.0
"Papers, Please",papers please,,5.0
pressing under pressure,pressing under pressure,,5.0
Lava and Aqua,lava and aqua,,5.0
Platform 8,plataform 8,,5.0
a difficult game about climbing,a difficult game about climbing,,5.0
Apple Worm,apple worm,,5.0
Avatar The Last Airbender: Quest for Balance,avatar the last airbender: quest for balance,,5.0
Doodle Road,doodle road,,5.0
Dragon Ball Sparking Zero,dragon ball sparking zero,,5.0
Go to Bed,go to bed,,5.0
Half Sword,half sword,,5.0
Hero Time,hero time,,5.0
La Madriguera,la madriguera,,5.0
Liar's Bar,liar´s bar,,5.0
One armed Cook,one armed cook,,5.0
Outer Wilds,outer wilds,,5.0
Q Remastered,q remastered,,5.0
The Password Game,the password game,,5.0
A Game About Digging a Hole,a game about digging a hole,,5.0
Age Of Thrones,age of thrones,,5.0
bitlife,bitlife,,5.0
Chronophoto,chronophoto,,5.0
Dino Bros,dino bros,,5.0
Dress to Impress,dress to impress,,5.0
Gamedle,gamedle,,5.0
Happy Glass,happy glass,,5.0
Irmão grande e brasileiro 2,irmão grande e brasileiro 2|Irmão grande brasileiro 2,,5.0
Naruto Storm 4,naruto storm 4,,5.0
Only Way Is Down,only way is down,,5.0
PEAK,peak,,5.0
Pineapple on pizza,pineapple on pizza,,5.0
Plug And Play,plug and play,,5.0
Rematch,rematch,,5.0
Shower Simulator,shower simulator,,5.0
SpongeGlock SquarePants,spongeglock squarepants,,5.0
The Button,the button,,5.0
the dark queen of mortholme,the dark queen of mortholme,,5.0
The Exit 8,the exit 8,,5.0
There Is no Game,there is no game,,5.0
60 Seconds,60 seconds,,5.0
Akinator,akinator,,5.0
A little to the left,a little to the left,,5.0
Arsonate,arsonate,,5.0
Balatro,balatro,,5.0
Banana,banana,,5.0
Cheaters Cheetah,cheaters cheetah,,5.0
Ciclo Viral,ciclo viral,,5.0
Coconut Simulator,coconut simulator,,5.0
Contraband Police,contraband police,,5.0
Cookie Clicker,cookie clicker,,5.0
Dark Souls 3,dark souls 3,,5.0
Deviator,deviator,,5.0
Drunk Wrestlers 2,drunk wrestlers 2,,5.0
Eggs For Bart,eggs for bart,,5.0
Fortnite,fortnite,,5.0
handshake simulator,handshake simulator,,5.0
Hollow Knight Silksong,hollow knight silksong,,5.0
I am not a robot,i am not a robot,,5.0
Krusty Zombies,krusty zombies,,5.0
Motion Soccer,motion soccer,,5.0
Moviedle,moviedle,,5.0
Mr Krabs,mr krabs,,5.0
Musicle,musicle,,5.0
Naruto Storm Connections,naruto storm connections,,5.0
Neal.fun,neal.fun,,5.0
Nerdle,nerdle,,5.0
Pokemon Scarlet,pokemon scarlet,,5.0
Quarantine Zone,quarantine zone,,5.0
Ratshaker,ratshaker,,5.0
Shower Game,shower game,,5.0
stardew valley,stardew valley,,5.0
Stimulator Clicker,stimulator clicker,,5.0
Streamer Life Simulator,streamer life simulator,,5.0
Super Mario Bros,super mario bros,,5.0
TCG Card Shop Simulator,tcg card shop simulator,,5.0
The Baby In Yellow,the baby in yellow,,5.0
The Simpsons Hit and Run,the simpsons hit and run,,5.0
the world hardest game,the world hardest game,,5.0
Who needs a hero,who needs a hero,,5.0
