titulo,canal,plataforma,url,views,likes,comentarios,data_publicacao,texto_comentarios,origem,tipo_video
JOGUEI TODOS OS JOGOS SATISFATÓRIOS DE TECLADO NO ROBLOX... MAS SÓ ME ESTRESSEI.,Play Guima,youtube,https://www.youtube.com/watch?v=W1YZDBZm-Ms,5987,1356,308,2026-08-28,,youtube,desconhecido
PLAY GUIMA AGORA É UMA GAMER PROFISSIONAL DE JOGOS DE CELULAR...,Play Guima,youtube,https://www.youtube.com/watch?v=WtvlGz-uVBk,43183,1932,599,2026-08-27,,youtube,desconhecido
ESSA MENINA BEBE TUDO O QUE EU DOU PRA ELA... E É POR ISSO QUE EU DEI ISSO.,Play Guima,youtube,https://www.youtube.com/watch?v=hOyrZnWzQ7g,171021,6861,1208,2026-08-26,,youtube,desconhecido
FINALMENTE FUI PRA UM ENCONTRO ROMÂNTICO MAS... EM REALIDADE VIRTUAL.,Play Guima,youtube,https://www.youtube.com/watch?v=QDfXiHR7DY4,168696,5451,748,2026-08-25,,youtube,desconhecido
ESTOU SOZINHA EM CASA NO ROBLOX E... NÃO POSSO ABRIR A PORTA PRA ESTRANHOS...,Play Guima,youtube,https://www.youtube.com/watch?v=XMCrwbjlKjU,105843,3932,827,2026-08-24,,youtube,desconhecido
ACHEI QUE ERA UM JOGO DE VESTIR GAROTA MAS... O FINAL ME DEIXOU TRAUMATIZADA.,Play Guima,youtube,https://www.youtube.com/watch?v=c0wUHOEUbm8,170879,7526,1362,2026-08-22,,youtube,desconhecido
VIREI UM PEIXE VOADOR POR 1 DIA... E FIQUEI BRAVA. ,Play Guima,youtube,https://www.youtube.com/watch?v=pLUVsyp5vSk,266761,10904,859,2026-08-21,,youtube,desconhecido
"PRECISO ALIMENTAR MEU PEIXE... MAS QUANTO MAIS ELE COME, MAIS ESTRANHO ELE FICA.",Play Guima,youtube,https://www.youtube.com/watch?v=95k0iHBomg4,154529,5205,864,2026-08-20,,youtube,desconhecido
SÓ PRECISO DESTRUIR ESSE BONECO INOCENTE... no Melon Sandbox.,Play Guima,youtube,https://www.youtube.com/watch?v=NI-Pyv3fAO4,255491,7315,1734,2026-08-19,,youtube,desconhecido
DEPOIS DE ANOS VOLTEI PRA ESCOLA E PRECISO SER POPULAR MAS... É A PIOR ESCOLA DO MUNDO.,Play Guima,youtube,https://www.youtube.com/watch?v=kBiH88QC0R0,128036,4764,714,2026-08-18,,youtube,desconhecido
O JOGO QUE SÓ PRECISO COMER CAFÉ DA MANHÃ... MAS É SATISFATÓRIO no Roblox Mukbang,Play Guima,youtube,https://www.youtube.com/watch?v=RVqvpwlU0-c,211533,8975,1069,2026-08-17,,youtube,desconhecido
